segment_num,segment_size,hit_throughput,miss_throughput,hit_downloadTime,miss_downloadTime
1,191109,1779324.532493,1246954.383552,0.859243,1.226085
2,225202,1651431.657481,1229848.943066,1.090942,1.464908
3,213970,1522565.701042,1101751.321867,1.124260,1.553672
4,238423,1573757.981901,1078696.217640,1.211993,1.768231
5,240115,1564614.712041,978904.263004,1.227727,1.962317
6,278055,1616611.807387,1109683.707242,1.375989,2.004571
7,227073,1593337.306068,1130874.857075,1.140113,1.606353
8,254460,1502973.601196,1094038.959657,1.354435,1.860702
9,241210,1639192.323612,961268.506904,1.177214,2.007431
10,154716,1568201.597716,1056611.813322,0.789266,1.171412
11,194857,1342544.649305,1140425.295675,1.161120,1.366908
12,240159,1407909.627558,1197377.376258,1.364627,1.604567
13,244025,1389498.051846,1172511.827518,1.404968,1.664973
14,260712,1422761.812270,1125399.342489,1.465949,1.853294
15,197267,1398431.563953,1134557.516291,1.128504,1.390970
16,272580,1407095.714416,1203796.741784,1.549745,1.811469
17,262581,1429047.215331,1218348.651357,1.469964,1.724176
18,241342,1422229.753613,1194500.894205,1.357542,1.616354
19,231200,439831.135897,452443.406752,4.205250,4.088025
20,258741,482244.941949,455291.553854,4.292275,4.546379
21,252156,476907.631935,436861.973406,4.229851,4.617587
22,248728,471004.990038,439843.206721,4.224635,4.523939
23,234854,476371.550630,436280.772826,3.944047,4.306474
24,258476,465784.170167,437938.802270,4.439412,4.721683
25,247165,453390.651165,451926.840667,4.361184,4.375310
26,241118,474695.576105,341005.602840,4.063539,5.656634
27,264715,474426.730112,456372.871514,4.463745,4.640328
28,261843,455031.365295,422665.670577,4.603516,4.956031
29,253532,467675.688191,374077.955451,4.336886,5.422014
30,261635,454815.119749,459219.154808,4.602046,4.557911
31,258285,471170.394799,368748.472004,4.385420,5.603494
32,212173,481862.011844,328199.889773,3.522552,5.171799
33,263100,467793.064143,458381.955470,4.499425,4.591804
34,244717,476745.077510,329219.770849,4.106463,5.946593
35,260349,1374730.560030,860448.777650,1.515055,2.420588
36,221759,1438502.643259,986950.559859,1.233277,1.797529
37,249369,1403954.922321,994813.040089,1.420952,2.005354
38,255203,1446781.774117,992569.596510,1.411149,2.056908
39,263523,1210408.838212,1217775.397590,1.741712,1.731176
40,249101,1416793.241117,1195662.507670,1.406562,1.666698
41,284221,1343181.614503,1214946.164636,1.692822,1.871497
