segment_num,segment_size,hit_throughput,miss_throughput,hit_downloadTime,miss_downloadTime
1,627744,1977946.500079,1733869.969870,2.538973,2.896383
2,710279,2158706.628451,1688662.090674,2.632239,3.364931
3,679140,2141720.321944,1415462.708546,2.536802,3.838406
4,700147,2121567.823153,1831309.674178,2.640112,3.058563
5,783850,2169668.860167,2015711.878424,2.890211,3.110960
6,929825,2164058.278168,1442653.318490,3.437338,5.156194
7,705564,2167492.343414,1981248.092245,2.604167,2.848968
8,767773,2174732.973728,1925750.163644,2.824339,3.189502
9,761981,2027968.794228,1981628.407605,3.005888,3.076181
10,606513,1961492.174408,1559024.539869,2.473680,3.112269
11,657859,1937106.081474,1852151.574544,2.716873,2.841491
12,761088,1950662.431937,1808180.391691,3.121352,3.367310
13,739577,1377540.721728,1866137.309605,4.295057,3.170515
14,844923,1953556.419462,1896186.703760,3.460040,3.564725
15,694338,1989308.371389,1759612.733527,2.792279,3.156776
16,861235,1978399.448063,1850922.855754,3.482553,3.722403
17,856710,1983487.560170,1639788.791626,3.455368,4.179611
18,800453,2138470.756217,2004528.517332,2.994488,3.194579
19,777652,2173216.839009,1992860.404278,2.862676,3.121752
20,829756,2178184.436201,2034210.822001,3.047514,3.263206
21,786538,2165689.384480,1784370.289997,2.905451,3.526344
22,802857,2174114.606934,2012366.435012,2.954240,3.191693
23,744812,2019163.963402,2003480.442199,2.950972,2.974072
24,798337,2165549.948026,1915416.041339,2.949226,3.334365
25,783839,2106221.326601,1782256.739108,2.977233,3.518411
26,775867,1969804.432964,1821976.674281,3.151042,3.406704
27,847521,1991273.640566,1804066.563821,3.404940,3.758269
28,862017,1990206.484846,1851816.169668,3.465035,3.723985
29,846826,1155624.962292,1830921.194725,5.862289,3.700109
30,815719,1381080.342098,1825401.950182,4.725107,3.574967
31,851477,1969946.607240,1808121.470353,3.457868,3.767344
32,735207,1994900.904714,1098309.091304,2.948345,5.355192
33,800097,1976614.444442,1813543.507426,3.238252,3.529431
34,808090,1961204.459039,1540258.805215,3.296301,4.197165
35,843548,1995622.498163,1572736.898254,3.381593,4.290854
36,747853,1993584.044905,1859842.291841,3.001039,3.216845
37,773319,1990065.410371,1814655.499943,3.108718,3.409216
38,800142,1981738.538379,1807180.141586,3.230061,3.542058
39,848136,1980040.334437,1852651.098670,3.426742,3.662367
40,819096,1959258.437891,1798141.820535,3.344514,3.644189
41,897913,1985886.255243,1817567.410092,3.617178,3.952153
42,774310,2151801.045005,1978235.382721,2.878742,3.131316
43,803901,2178305.392646,2038373.713558,2.952390,3.155068
44,875956,2183632.782359,1308616.920086,3.209170,5.355003
45,808891,1913933.128737,1328440.958968,3.381063,4.871220
46,876708,2163835.351031,2070453.268142,3.241311,3.387502
47,867039,2172322.373049,2034469.915248,3.193040,3.409395
48,791248,2173896.759580,1072713.859876,2.911814,5.900906
49,827136,2069953.294304,2038514.750527,3.196733,3.246034
50,788564,1985908.740457,1801906.896179,3.176637,3.501020
51,774821,1984927.114098,1807260.506812,3.122819,3.429814
52,877042,1988737.010115,1828099.672240,3.528036,3.838049
53,743292,2001671.504175,1817369.607615,2.970685,3.271946
54,835217,1987911.613588,1695724.705397,3.361184,3.940342
55,803749,1994984.615280,1102729.203512,3.223078,5.830980
56,764245,1828035.020339,1502484.730503,3.344553,4.069233
57,718559,1955460.610396,1668806.122796,2.939702,3.444661
58,831483,1963868.941568,1878589.513075,3.387122,3.540882
59,856880,1991293.646432,1325199.422825,3.442506,5.172837
60,791260,1988736.295697,1824334.696152,3.182966,3.469802
61,812188,1966299.856247,1805752.739271,3.304432,3.598225
62,698721,1981813.971443,1461176.319638,2.820531,3.825526
63,795895,1950269.776632,1033718.956624,3.264759,6.159469
64,767056,1986141.557076,1437452.710689,3.089633,4.268974
65,791726,1966402.161793,1784077.353531,3.221014,3.550187
66,819170,1769931.448275,1685936.622922,3.702607,3.887074
67,800545,1784164.486181,1675455.832948,3.589557,3.822458
68,737092,1796393.949330,1570784.854497,3.282541,3.754006
69,819263,1771493.358850,1639065.965486,3.699762,3.998682
70,773371,1784133.685338,1647360.276225,3.467772,3.755686
71,820966,1737442.139267,1643304.651540,3.780113,3.996659
72,772022,1784683.634868,1664908.424464,3.460656,3.709619
73,803024,1787211.518535,1647765.583492,3.594534,3.898729
74,715649,1604114.464045,1523827.188780,3.569067,3.757114
75,674084,1603713.610883,1341336.601557,3.362615,4.020372
76,842140,1615389.165581,1480106.998385,4.170586,4.551779
77,687426,1597526.767637,1486468.802747,3.442451,3.699646
78,721558,1605840.477158,1501157.162925,3.594668,3.845343
79,878001,1588042.859917,1335782.509974,4.423059,5.258347
80,821114,1601974.062084,1485236.927959,4.100511,4.422804
81,834197,1609993.363034,1498957.916896,4.145095,4.452144
82,844793,1412546.276990,1371420.134617,4.784512,4.927989
83,812668,1427910.303013,1343292.552597,4.553048,4.839857
84,883067,1402194.262847,1358819.914561,5.038201,5.199023
85,828902,1425552.920760,1377990.995018,4.651680,4.812235
86,867338,1421611.822612,1348334.107287,4.880871,5.146131
87,737721,1389416.471985,1327873.873726,4.247659,4.444525
88,756157,1415658.594992,1178350.340357,4.273104,5.133665
89,866782,1420946.081494,1362710.298216,4.880028,5.088577
90,786912,1589612.284144,1498230.888514,3.960271,4.201820
91,811697,1612891.067806,1237950.013854,4.026047,5.245427
92,811754,1270623.682776,1530864.644307,5.110901,4.242068
93,843946,1602677.138296,1550326.143969,4.212681,4.354934
94,806205,1612536.871387,1432001.778773,3.999685,4.503933
95,826766,1607036.307279,1440333.979969,4.115730,4.592079
96,799507,1616310.720170,1490971.874619,3.957195,4.289857
97,752713,1611813.135960,1503544.375676,3.735981,4.005006
98,837863,1604213.351848,1547621.880589,4.178312,4.331099
99,841484,1606822.342831,1517747.110990,4.189556,4.435437
100,767585,1603334.690828,1192425.860389,3.829943,5.149737
101,839832,1528924.401995,1526684.981888,4.394368,4.400814
102,757721,1597048.239058,1492118.838366,3.795607,4.062524
103,812403,1601055.769060,1482548.884373,4.059336,4.383818
104,830202,1615516.765240,1486495.165042,4.111140,4.467970
105,756665,1586557.821710,1382669.685402,3.815379,4.377994
106,789392,1598767.333792,1486383.971039,3.950003,4.248657
107,749913,1612405.991077,1496862.291861,3.720716,4.007920
108,757691,1594701.929935,1493130.573695,3.801041,4.059610
109,815024,1539502.349102,1552122.499209,4.235260,4.200823
110,772776,1595008.118544,1497640.614628,3.875973,4.127965
111,758469,1577903.231342,1518185.779352,3.845453,3.996712
112,821276,1577070.347923,1461762.912111,4.166084,4.494715
113,815518,1611601.357998,1503780.535490,4.048237,4.338495
114,831445,1451841.427090,1485273.907160,4.581465,4.478339
115,773483,1610450.550592,1501791.021238,3.842319,4.120323
116,839896,1618224.914582,1512099.795135,4.152184,4.443601
117,855529,1609600.281884,1472039.110599,4.252131,4.649491
118,812780,1582376.862298,1374985.429092,4.109160,4.728952
119,818573,1610211.086617,1501867.827414,4.066910,4.360293
120,820549,1613424.524177,1540154.677644,4.068608,4.262164
121,830417,1562786.150546,1468940.190089,4.250957,4.522537
122,835357,1610045.794931,1498898.745271,4.150724,4.458511
123,790892,1611654.899779,1506105.100694,3.925863,4.200992
124,848530,1607149.854890,1544445.741277,4.223775,4.395260
125,744344,1575459.217466,1198982.831214,3.779693,4.966503
126,749980,1613063.453381,1502772.747348,3.719531,3.992513
127,699571,1604517.829254,1147155.961870,3.488006,4.878646
128,822174,1609048.367438,1506072.947225,4.087753,4.367247
129,732257,1603838.938538,1489660.137388,3.652521,3.932478
130,699333,1572263.827061,1507361.665927,3.558349,3.711560
131,708294,1616486.856626,1493446.025812,3.505350,3.794146
132,731235,1608188.376106,1484895.734781,3.637559,3.939590
133,660653,1514231.832745,1193064.297217,3.490366,4.429957
134,844411,1613510.949134,1221191.097985,4.186701,5.531721
135,709950,1571635.692657,1506437.654692,3.613815,3.770219
136,750633,1553344.258096,1511946.638537,3.865894,3.971743
137,689032,1599016.289428,1471940.988977,3.447279,3.744889
138,655326,1601471.441237,1484104.590354,3.273619,3.532506
139,731435,1596281.943993,1326973.869686,3.665693,4.409642
140,718800,1606656.231036,1491908.339156,3.579110,3.854392
141,813188,1601561.142902,1450678.115753,4.061977,4.484457
142,823720,1613672.766713,1531543.445851,4.083703,4.302692
143,799165,1607357.894842,1496401.795049,3.977534,4.272462
144,867074,1192111.329430,1470025.340123,5.818745,4.718689
145,842606,1611431.718442,1360272.815530,4.183142,4.955512
146,797476,1414353.886581,1364887.640027,4.510758,4.674237
147,870237,1428224.072511,1313447.361269,4.874512,5.300476
148,829140,1416510.800101,1207787.215736,4.682718,5.491961
149,828048,1288037.960621,1327827.313497,5.143004,4.988890
150,871652,1423036.591868,1362690.139898,4.900237,5.117243
151,878994,1420678.736681,1372247.087637,4.949713,5.124407
152,755232,1425574.618336,1316787.649071,4.238190,4.588330
153,809509,1420690.633643,1129184.510189,4.558397,5.735176
154,801088,1420456.811355,1345361.994860,4.511720,4.763554
155,839622,1423629.616523,1366119.474733,4.718205,4.916829
156,853017,1425445.075077,1377150.523322,4.787372,4.955258
157,849707,1409448.611596,1348998.453458,4.822919,5.039039
158,795375,1415366.746390,1338486.884654,4.495655,4.753875
159,798004,1418088.040848,1355841.236773,4.501859,4.708539
160,765339,1436026.361764,1250807.209008,4.263649,4.895009
161,813790,1431946.770711,1367789.786219,4.546482,4.759737
162,789667,1592621.974837,1510500.039029,3.966626,4.182281
163,782456,1557326.616558,1517206.301636,4.019483,4.125772
164,797992,1623006.413826,1442591.552916,3.933402,4.425325
165,848778,1613171.952914,1502008.743218,4.209238,4.520762
166,735529,1613128.494377,1503597.832876,3.647714,3.913435
167,788375,1581422.096230,1438789.080998,3.988183,4.383547
168,745549,1570104.881296,1478133.551541,3.798722,4.035083
169,833463,1433128.567618,1388057.523850,4.652551,4.803622
170,851587,1792879.890117,1654298.140733,3.799862,4.118179
171,826122,1808508.223262,1661367.291369,3.654380,3.978034
172,803402,1793196.683824,1657750.950577,3.584223,3.877070
173,774778,1805907.495618,1668561.051702,3.432194,3.714712
174,816969,1758322.097136,1656395.059202,3.717039,3.945769
