segment_num,segment_size,hit_throughput,miss_throughput,hit_downloadTime,miss_downloadTime
1,191109,2133551.709069,1525153.934029,0.716585,1.002438
2,225202,2254553.232151,1411803.130911,0.799101,1.276110
3,213970,2193782.977913,1783655.143888,0.780278,0.959692
4,238423,2209913.693624,1649258.041579,0.863103,1.156510
5,240115,2262300.959312,1597441.697314,0.849100,1.202498
6,278055,2276735.994565,1698590.274056,0.977030,1.309580
7,227073,2233408.188894,1553083.618251,0.813369,1.169663
8,254460,2248806.827314,1668619.472910,0.905227,1.219979
9,241210,2297610.698873,1607895.372157,0.839864,1.200128
10,154716,1962037.312939,1185839.546943,0.630838,1.043757
11,194857,2199785.938746,1563289.471743,0.708640,0.997164
12,240159,2262880.082751,1691684.607059,0.849038,1.135715
13,244025,2278062.003330,1673136.715167,0.856956,1.166790
14,260712,2256911.842481,1727540.665152,0.924137,1.207321
15,197267,2128536.439883,1087093.722398,0.741418,1.451702
16,272580,2244559.831395,1869014.836545,0.971522,1.166732
17,262581,2274870.138010,1133475.596409,0.923414,1.853280
18,241342,2266604.752634,1524557.981715,0.851819,1.266423
19,231200,2199638.679443,1450993.237563,0.840865,1.274713
20,258741,2316525.657386,1203929.117758,0.893548,1.719311
21,252156,2279471.479473,1362186.000781,0.884963,1.480890
22,248728,2256172.972210,1412984.668067,0.881947,1.408242
23,234854,2209126.763619,1602624.058974,0.850486,1.172347
24,258476,2259998.479691,1618325.722625,0.914960,1.277745
25,247165,2296838.308497,1482108.626251,0.860888,1.334126
26,241118,2271024.646010,1022744.457661,0.849372,1.886047
27,264715,2201848.780364,1700691.845700,0.961792,1.245211
28,261843,2270060.737782,1690052.503655,0.922770,1.239455
29,253532,2285375.940907,1732720.854845,0.887493,1.170561
30,261635,2292701.682170,1694143.397815,0.912932,1.235480
31,258285,2275761.882873,1661289.444787,0.907951,1.243781
32,212173,1978817.614526,1443346.573487,0.857777,1.176006
33,263100,2278123.051666,1817837.412379,0.923918,1.157859
34,244717,2298340.240966,1500283.003991,0.851804,1.304911
35,260349,2251780.900744,1598743.315455,0.924953,1.302768
36,221759,2255849.806577,1623665.790911,0.786432,1.092634
37,249369,2252112.952760,1678322.613796,0.885813,1.188658
38,255203,2275072.719318,1563226.697426,0.897388,1.306032
39,263523,2060191.980898,1578797.453734,1.023295,1.335310
40,249101,2108410.281685,1641197.363784,0.945171,1.214240
41,284221,2104369.966551,1666032.973715,1.080498,1.364780
42,223937,2065199.267042,1561284.303644,0.867469,1.147450
43,236128,2080443.683366,1570051.822737,0.907991,1.203160
44,270442,2082904.534643,1623214.607821,1.038711,1.332871
45,242801,2106806.348266,1618508.304272,0.921968,1.200122
46,274138,2070494.584264,1616583.583319,1.059217,1.356629
47,260836,2221736.367660,1361437.500344,0.939215,1.532709
48,247131,2291120.733845,1496896.906737,0.862917,1.320764
49,256498,2231436.710772,1611887.878080,0.919580,1.273031
50,215494,2220412.813936,1455733.314504,0.776411,1.184250
51,221454,2235285.237060,1317526.153511,0.792575,1.344666
52,269670,2274077.772080,1076953.635443,0.948675,2.003206
53,219193,2247822.855431,1309622.560471,0.780108,1.338969
54,259852,2259696.028023,1473280.985985,0.919954,1.411011
55,238477,2082045.889556,1883145.617173,0.916318,1.013101
56,217427,2312936.308194,1469524.193150,0.752038,1.183659
57,246637,2199946.846002,1506164.045367,0.896883,1.310014
58,261690,2265810.106557,1762475.178243,0.923961,1.187829
59,259796,2249610.832815,1615580.192998,0.923879,1.286453
60,252899,2287619.831014,1548982.514357,0.884409,1.306143
61,245825,2222343.289621,1476558.818483,0.884922,1.331881
62,186854,2186753.125014,998658.348086,0.683585,1.496840
63,256391,2238049.190702,1227317.401121,0.916480,1.671229
64,220287,2232850.256914,1258112.580876,0.789258,1.400746
65,255776,2255451.279616,1359563.249992,0.907228,1.505048
66,259809,2234890.758998,1575949.312068,0.930011,1.318870
67,251650,2264802.752533,1551722.817161,0.888907,1.297397
68,224653,2223529.089128,1359284.247360,0.808275,1.322184
69,260168,2249244.298705,1568968.798618,0.925353,1.326568
70,236894,2180297.505571,1542744.033410,0.869217,1.228429
71,249191,2132287.453610,1623897.741956,0.934925,1.227619
72,249050,2236895.668656,1900709.426066,0.890699,1.048240
73,250991,2273409.239640,1631137.628329,0.883223,1.230999
74,215218,2095913.376917,1605724.460044,0.821477,1.072254
75,217052,2216106.454581,1620136.197709,0.783544,1.071772
76,270036,2289995.311678,1733599.954455,0.943359,1.246128
77,204173,2310022.970631,1269150.099923,0.707086,1.286990
78,237477,2282838.656982,1570499.961974,0.832217,1.209689
79,269354,2241122.313456,1719199.095649,0.961497,1.253393
80,256148,2234447.506108,1625658.242766,0.917088,1.260526
81,258158,2285926.583105,1681739.996940,0.903469,1.228052
82,265233,2325868.472426,1691786.171559,0.912289,1.254215
83,232844,2247995.957035,1852455.584423,0.828628,1.005558
84,270274,2254657.432719,1644031.526913,0.958989,1.315177
85,259052,2158371.521362,1504748.846246,0.960176,1.377250
86,249926,2285241.953003,1829188.885265,0.874922,1.093057
87,159527,2062783.216869,1202122.580616,0.618686,1.061635
88,241208,2032794.426103,1490198.234183,0.949267,1.294904
89,272736,2105360.141777,1626877.502527,1.036349,1.341151
90,225638,2045431.623605,1395205.707569,0.882505,1.293791
91,257203,2114164.475703,1369235.441702,0.973256,1.502754
92,258222,2094598.361090,1161409.995427,0.986240,1.778679
93,265692,2105988.978390,1534350.505552,1.009282,1.385300
94,245874,2046379.830277,1569960.120671,0.961206,1.252893
95,258230,2008848.212055,1489121.376168,1.028370,1.387288
96,242281,2111710.917637,1453122.756534,0.917857,1.333850
97,246426,2081328.310174,1469327.216506,0.947187,1.341708
98,270480,2082347.378553,1628660.666193,1.039135,1.328601
99,261447,2025520.517852,1216190.162781,1.032612,1.719777
100,254128,2137081.203750,1188395.047652,0.951309,1.710731
101,244155,2088852.158913,1514672.870622,0.935078,1.289546
102,211525,2086178.665699,1439309.309456,0.811148,1.175703
103,256262,2035956.496335,1558717.495369,1.006945,1.315245
104,263036,2090571.178607,1597636.600289,1.006561,1.317126
105,212154,2101700.935199,1449576.617529,0.807552,1.170847
106,241031,2076874.915743,1596015.456309,0.928437,1.208164
107,243001,2119061.413376,1205274.528838,0.917391,1.612917
108,235459,2076706.003464,1581646.859303,0.907048,1.190956
109,266699,2099980.724800,1610315.427305,1.016006,1.324953
110,238567,2122396.757655,1561562.826665,0.899236,1.222196
111,251815,2024849.168513,1469378.426234,0.994899,1.371001
112,261124,2139150.264900,1475709.044382,0.976552,1.415585
113,253227,2067271.297849,1121483.327673,0.979947,1.806372
114,258331,2120459.480304,1780165.661180,0.974623,1.160930
115,233426,2118969.095568,1569313.856493,0.881281,1.189952
116,262818,2090942.949296,1367244.416055,1.005548,1.537797
117,277051,2073195.380333,1314911.324043,1.069078,1.685595
118,213939,2021854.257212,1256241.152125,0.846506,1.362407
