segment_num,segment_size,hit_throughput,miss_throughput,hit_downloadTime,miss_downloadTime
1,191109,990692.886721,1166610.380896,1.543235,1.310525
2,225202,2066124.851125,1349491.796150,0.871978,1.335033
3,213970,2103208.172057,898540.551549,0.813880,1.905045
4,238423,1244008.010755,1504391.866644,1.533257,1.267877
5,240115,817575.292050,1643819.680341,2.349533,1.168571
6,278055,902380.790884,1675976.638619,2.465079,1.327250
7,227073,1383954.893042,1098751.194033,1.312603,1.653317
8,254460,1100124.474254,1349999.061879,1.850409,1.507912
9,241210,1244516.503247,1254120.266150,1.550546,1.538672
10,154716,1909241.644942,982312.664502,0.648283,1.260014
11,194857,891294.695829,1027523.822805,1.748979,1.517100
12,240159,1721486.505155,1417271.750551,1.116054,1.355613
13,244025,1629283.426045,1334093.501636,1.198195,1.463316
14,260712,1102460.811427,1423044.864340,1.891855,1.465657
15,197267,1613804.496669,1256552.322858,0.977898,1.255925
16,272580,882237.731197,1507136.455894,2.471715,1.446876
17,262581,1403959.832188,1424798.800263,1.496231,1.474347
18,241342,1390800.373809,1357177.527047,1.388219,1.422611
19,231200,1753902.967090,1293939.743633,1.054562,1.429433
20,258741,1877882.942340,1262848.411061,1.102267,1.639095
21,252156,1941262.388873,1201613.013254,1.039142,1.678783
22,248728,1882753.202749,1230554.823865,1.056869,1.617014
23,234854,1879919.800349,1057717.858277,0.999421,1.776307
24,258476,1930545.314230,1427127.110123,1.071100,1.448931
25,247165,1928482.445917,1422638.170030,1.025324,1.389897
26,241118,1709753.869014,1337437.413964,1.128200,1.442269
27,264715,1945254.221126,1572953.780891,1.088660,1.346333
28,261843,1701450.269272,1065163.305953,1.231152,1.966594
29,253532,1769468.292263,1425802.558233,1.146252,1.422536
30,261635,1751654.145586,1313919.338788,1.194916,1.593005
31,258285,1747513.198008,1355782.080888,1.182412,1.524050
32,212173,1751051.034983,1470092.428334,0.969352,1.154610
33,263100,1719449.455573,1432168.406503,1.224113,1.469660
34,244717,1756787.331575,1432433.647058,1.114384,1.366720
35,260349,1804650.687759,1305278.589579,1.154125,1.595669
36,221759,1540066.749197,1307307.110795,1.151945,1.357043
37,249369,1574019.097445,759299.933503,1.267426,2.627357
38,255203,1557316.570601,1096186.757175,1.310988,1.862478
39,263523,1575531.726080,1227877.841043,1.338078,1.716933
40,249101,1558492.404501,1238537.146313,1.278677,1.609001
41,284221,1595939.398932,1288532.238452,1.424721,1.764619
42,223937,1571509.595181,1201049.834859,1.139984,1.491608
43,236128,1594806.879286,1286741.587371,1.184484,1.468068
44,270442,1636231.365410,1429976.241295,1.322268,1.512987
45,242801,1732563.281458,1378223.698203,1.121118,1.409356
46,274138,1717986.858238,1547995.950276,1.276555,1.416738
47,260836,1744993.245118,1363046.147997,1.195814,1.530900
