segment_num,segment_size,hit_throughput,miss_throughput,hit_downloadTime,miss_downloadTime
1,326673,1549611.677672,1417956.315770,1.686477,1.843064
2,348726,1565264.161573,1172927.835544,1.782324,2.378499
3,337961,1549729.440849,1399745.257401,1.744619,1.931557
4,372956,1603376.758715,1293274.635003,1.860853,2.307049
5,389311,1593469.048846,1421017.776155,1.954533,2.191730
6,456774,1586635.283675,1160613.198757,2.303108,3.148501
7,373233,1585100.179697,1446438.109906,1.883707,2.064287
8,413054,1570207.434231,1410266.707747,2.104456,2.343126
9,404746,1505291.581107,1436749.599134,2.151057,2.253676
10,276489,1587815.779018,1133668.177695,1.393053,1.951111
11,306830,1765680.187429,1445583.698628,1.390195,1.698027
12,388635,1755029.654902,1345208.191010,1.771526,2.311226
13,416433,1780005.910909,1495001.578228,1.871603,2.228402
14,426767,1804832.575856,1536865.188558,1.891664,2.221493
15,329139,1785002.391902,1443097.233600,1.475131,1.824625
16,451213,1797186.445593,1591881.376093,2.008531,2.267571
17,443102,1778790.655948,1523152.718543,1.992824,2.327289
18,404590,1733622.229287,1532152.011233,1.867027,2.112532
19,385270,1560553.319027,1371158.416265,1.975043,2.247851
20,423971,1600230.785335,1436872.139682,2.119549,2.360522
21,419243,1565968.766584,1456993.103251,2.141769,2.301963
22,409064,1592683.282964,1459912.159177,2.054716,2.241581
23,383029,1561724.621852,1327371.177051,1.962082,2.308497
24,403971,1557881.629591,1405169.862527,2.074463,2.299913
25,417244,1610619.282793,1371002.894833,2.072465,2.434679
26,381100,1578677.112899,1353197.727978,1.931237,2.253034
27,439067,1419150.332424,1307202.127185,2.475098,2.687064
28,447905,1413197.302930,1280002.707053,2.535555,2.799400
29,426866,1414790.971028,1262409.811047,2.413733,2.705087
30,401741,1418504.301660,1277876.103905,2.265716,2.515054
31,454506,1283035.137552,1208754.942145,2.833943,3.008094
32,361179,1409984.782893,1167068.784074,2.049265,2.475803
33,429092,1412118.153519,1282621.406430,2.430913,2.676344
34,411449,1408709.046080,1273812.117487,2.336602,2.584048
35,443626,481189.876406,465780.450714,7.375484,7.619487
36,370229,475425.707027,400465.885626,6.229852,7.395966
37,402791,464043.894868,384763.851918,6.944016,8.374820
38,435412,466824.737757,464742.787048,7.461678,7.495105
39,440875,436031.736597,415432.098678,8.088861,8.489955
40,410465,477382.860919,401068.483486,6.878588,8.187430
41,468677,473272.881168,466164.172118,7.922313,8.043123
42,390063,479121.245847,329540.147397,6.512974,9.469268
43,402505,1398670.929926,960896.410762,2.302214,3.351079
44,451238,1414881.384397,1261151.329717,2.551383,2.862388
45,408453,965027.570850,1072759.110858,3.386042,3.046000
46,460891,1416483.607091,1164418.601750,2.603015,3.166497
47,427868,1425594.984204,1278898.313951,2.401063,2.676479
48,393628,1411762.764986,1122198.369435,2.230562,2.806121
49,434157,1428818.039906,1121109.901974,2.430860,3.098051
50,360161,1415925.003829,900786.646169,2.034916,3.198635
51,365879,1551825.254414,1417439.215596,1.886187,2.065014
52,451602,1577246.451625,1096920.060000,2.290584,3.293600
53,361186,1486386.563120,1212212.825291,1.943968,2.383647
54,424865,1414325.893164,1482768.737571,2.403208,2.292279
55,405141,1608213.211913,1386109.528867,2.015360,2.338291
56,365137,1606072.976012,1375708.616302,1.818782,2.123339
57,405165,1610841.644762,1369363.177041,2.012190,2.367027
58,436467,1617655.528888,1446854.742910,2.158516,2.413329
59,437808,1777302.295919,1548007.778086,1.970663,2.262562
60,409454,1768155.762495,1630730.379643,1.852570,2.008690
61,411251,1787490.413047,1529149.261298,1.840574,2.151528
62,331910,1761001.627716,1265717.005434,1.507824,2.097847
63,417391,1790756.648397,1505591.678928,1.864646,2.217818
64,364049,1778070.654544,1464300.564057,1.637951,1.988930
65,422379,1795581.178292,1545455.802155,1.881860,2.186431
66,405050,1804533.935941,1579818.670986,1.795699,2.051121
67,433601,1774987.930623,1565496.417529,1.954271,2.215788
68,404994,1781208.721005,1455444.759820,1.818963,2.226091
69,406487,1064749.778250,1528966.974571,3.054141,2.126858
70,408838,1784417.955153,1062797.112621,1.832925,3.077449
71,398214,1649245.775958,848819.800515,1.931617,3.753108
72,401422,1772056.823528,1163149.168144,1.812231,2.760932
73,406868,1769011.099802,814030.370786,1.839979,3.998554
74,359431,1783415.848344,1399534.070699,1.612326,2.054575
75,348186,1926340.434451,1614557.050659,1.446000,1.725234
76,435398,1933381.122495,1648439.515785,1.801602,2.113019
77,347899,1939401.975190,1566285.407920,1.435077,1.776938
78,365140,1950963.637537,1593796.105039,1.497270,1.832807
79,449848,1958926.447871,1354352.871611,1.837121,2.657198
80,423733,1962159.286388,1697971.853728,1.727619,1.996419
81,435497,1956330.078423,1705776.828134,1.780873,2.042457
82,427108,1929474.708204,1653393.441587,1.770878,2.066576
83,411043,1933810.342926,1699007.607613,1.700448,1.935450
84,442658,1958571.417868,1689387.571152,1.808085,2.096182
85,440019,1962081.091190,1137609.488954,1.794091,3.094341
86,429078,1840279.210966,1666266.835864,1.865273,2.060069
87,298038,1936057.477228,1560939.702237,1.231525,1.527480
88,381885,1949104.928873,1628230.860320,1.567427,1.876319
89,461957,1961232.466389,1778214.710401,1.884354,2.078296
90,381251,1946668.238250,1335074.596720,1.566784,2.284523
91,422690,1896149.052907,1411384.645812,1.783362,2.395888
92,439752,1959163.319660,1674874.041428,1.795673,2.100466
93,425756,1958798.426900,1685127.149548,1.738846,2.021241
94,408711,1946861.394061,1656075.089032,1.679466,1.974360
95,433997,1937103.311754,1644966.267056,1.792355,2.110667
96,397087,1966825.427435,1610521.593149,1.615139,1.972464
97,405215,1950816.117995,1654587.831291,1.661725,1.959231
98,451388,1907075.734417,1760520.118451,1.893529,2.051157
99,430402,1953721.099025,1687023.508072,1.762389,2.041001
100,407864,1951503.585585,1653910.326059,1.671999,1.972847
101,412020,1969714.491375,1630030.104663,1.673420,2.022147
102,363148,1968787.080202,1348042.102825,1.475621,2.155114
103,421564,1948086.510263,1684389.812080,1.731192,2.002216
104,432501,1940525.068534,1674608.577611,1.783027,2.066159
105,351661,1941548.951792,1673678.292969,1.448992,1.680901
106,400278,1954444.218229,1386514.800384,1.638432,2.309549
107,394231,1718463.237905,1635627.218295,1.835272,1.928219
108,393169,1954377.551661,1548015.109050,1.609388,2.031861
109,426546,1967881.816876,1612442.307201,1.734031,2.116273
110,394857,1950175.012062,1518634.695731,1.619781,2.080063
111,422964,1974741.732512,1643553.565188,1.713496,2.058778
112,432221,1991561.351999,1776758.973328,1.736210,1.946110
113,415363,1950292.438690,1595784.738769,1.703798,2.082301
114,419902,1969125.731392,1209695.951497,1.705943,2.776909
115,396599,1936084.868825,1223060.170625,1.638767,2.594142
116,427794,1936937.818056,1585120.965540,1.766888,2.159048
117,457899,1951867.510714,1615459.930756,1.876763,2.267585
118,375188,1912123.772530,1565675.802358,1.569723,1.917066
119,445768,1975925.603409,1698099.687647,1.804797,2.100079
120,388889,1959238.184775,1521562.569538,1.587919,2.044682
121,448968,1938639.641482,1687344.471008,1.852714,2.128637
122,422566,1954150.201151,1619235.148027,1.729922,2.087731
123,415437,1765149.029440,1563432.938728,1.882842,2.125768
124,427353,1791783.645579,1340270.837699,1.908056,2.550846
125,344981,1750378.220391,1379654.273127,1.576715,2.000391
126,368698,1742896.202712,1448576.530140,1.692346,2.036195
127,375239,1763229.581589,1603302.879103,1.702508,1.872330
128,415184,1749926.114781,1518923.083661,1.898064,2.186728
129,382286,1783440.133254,1522044.001547,1.714825,2.009330
130,370392,1761622.340686,1139425.434106,1.682050,2.600553
131,361915,1882715.542821,1611198.210211,1.537843,1.796998
132,376128,1972222.315005,1605860.732597,1.525702,1.873776
133,344014,1925723.409524,1652880.868580,1.429132,1.665040
134,443686,1960491.035134,1792620.395457,1.810510,1.980056
135,369312,1952621.774124,1577442.165687,1.513092,1.872966
136,392443,1924897.965363,1553980.640372,1.631018,2.020324
137,371832,1980093.003854,1460270.391862,1.502281,2.037058
138,343586,1961145.164973,1682101.803161,1.401573,1.634079
139,377004,1948193.335679,1759472.254051,1.548117,1.714169
140,380662,1944618.676891,1645897.309766,1.566012,1.850235
141,409076,1952680.767135,1493896.704157,1.675956,2.190652
142,429453,1935140.328824,1723489.157928,1.775388,1.993412
143,405135,1946744.892375,1685276.819925,1.664871,1.923174
144,416557,1893930.438656,1625420.841687,1.759545,2.050211
145,443526,1963715.709769,1675267.580738,1.806885,2.117995
146,379587,1945143.691618,1725296.601400,1.561168,1.760101
