segment_num,segment_size,hit_throughput,miss_throughput,hit_downloadTime,miss_downloadTime
1,983726,1600409.638522,1533397.867149,4.917371,5.132267
2,1084598,1605942.954443,1496523.963000,5.402922,5.797959
3,1009991,1613214.334036,1316543.762044,5.008589,6.137227
4,1035645,1611885.640757,1490010.133586,5.140042,5.560472
5,1147289,1606621.174643,1462317.369439,5.712804,6.276553
6,1288313,1602784.320225,1553371.504926,6.430375,6.634925
7,1000089,1613651.772184,1541876.202648,4.958140,5.188946
8,1178888,1589122.374193,1532782.171952,5.934788,6.152932
9,1184863,1472091.327858,1515101.123703,6.439073,6.256285
10,929127,1312329.467196,1504693.151043,5.663986,4.939888
11,991267,1613481.322307,1312105.360121,4.914923,6.043826
12,1117478,1412695.098110,1491382.470413,6.328205,5.994320
13,1086152,1617872.206009,1479005.105760,5.370768,5.875041
14,1265614,1565737.070185,1543232.441194,6.466547,6.560847
15,1020027,1608061.585448,1464537.404744,5.074567,5.571873
16,1234488,1330769.910770,1546023.246881,7.421196,6.387940
17,1323461,1602607.642644,1539889.408278,6.606538,6.875616
18,1217195,1504998.509945,1544339.160930,6.470146,6.305325
19,1116733,1446344.136549,1538251.669845,6.176859,5.807804
20,1305467,1584961.435935,1567413.259149,6.589268,6.663039
21,1192254,1770371.367516,1719007.856125,5.387588,5.548568
22,1226847,1806961.055272,1719762.490849,5.431648,5.707053
23,1068678,1781801.401709,1660244.168171,4.798191,5.149498
24,1187037,1789545.565389,1271836.479166,5.306540,7.466601
25,1206508,1799095.789849,1187349.192272,5.364953,8.129086
26,1171401,1563503.023318,1524547.818862,5.993726,6.146877
27,1258620,1808833.423820,1714058.212324,5.566549,5.874340
28,1255455,1810985.170746,1705499.621725,5.545954,5.888972
29,1314862,1358916.590133,1553188.685547,7.740649,6.772452
30,1189867,1622872.406094,1526311.681790,5.865486,6.236561
31,1276848,1565958.173884,1322705.074993,6.523025,7.722647
32,1086881,1606172.240128,1502667.396729,5.413522,5.786409
33,1152094,1614604.002945,1550217.155927,5.708367,5.945459
34,1278315,1615772.682105,1467812.720578,6.329182,6.967183
35,1248624,1615174.378874,1535479.205605,6.184467,6.505456
36,1134361,1617846.320822,1530046.100876,5.609240,5.931121
37,1199185,1659379.361572,1701437.382739,5.781366,5.638456
38,1185675,1665464.299667,1420244.027858,5.695349,6.678711
39,1241153,1783605.333734,1390459.556442,5.566940,7.140966
40,1227054,1792698.341382,1713816.949215,5.475786,5.727818
41,1381265,1811463.816207,1731980.042672,6.100105,6.380050
42,1064821,1803563.671002,1649242.753421,4.723187,5.165139
43,1190642,1807719.382839,1722499.212951,5.269145,5.529835
44,1343205,1757115.054275,1737574.961645,6.115502,6.184274
45,1171443,1559369.728820,1558229.757284,6.009828,6.014225
46,1253664,1451026.939794,1555491.933627,6.911872,6.447679
47,1339072,1334626.986470,1267496.037001,8.026644,8.451763
48,1105964,1517122.756079,1532899.212808,5.831903,5.771881
49,1241815,1463160.094205,1549076.861299,6.789770,6.413187
50,1210382,1409493.765612,1448900.232871,6.869882,6.683038
51,1108484,1226479.340922,1478941.166381,7.230348,5.996095
52,1338576,1428134.418753,1462620.620395,7.498319,7.321521
53,1104407,1617887.111154,1702741.285043,5.460984,5.188842
54,1253566,1762529.018667,1619083.884516,5.689851,6.193952
55,1231378,1562465.268596,1723520.273704,6.304796,5.715641
56,1144816,1697995.963941,1704633.376439,5.393728,5.372726
57,1001198,1629965.643931,1600244.333945,4.913959,5.005226
58,1283625,1705973.274979,1708259.199343,6.019438,6.011383
59,1259740,1700945.102778,1701579.767972,5.924894,5.922684
60,1206058,1706391.633130,1375149.311824,5.654308,7.016303
61,1166524,1976453.273965,1865905.360954,4.721686,5.001428
62,1027681,1983418.518849,1265596.221722,4.145090,6.496107
63,1227625,1975860.500676,1871681.552239,4.970493,5.247153
64,1137804,1841085.130650,1660983.722374,4.944058,5.480145
65,1170235,1981478.983135,1742248.137037,4.724693,5.373448
66,1164324,1985219.908708,1695612.543100,4.691970,5.493349
67,1266794,1997087.104631,1860646.016111,5.074567,5.446685
68,1090612,1988117.548804,1563245.914086,4.388521,5.581269
69,1219368,2176852.946283,1982267.700172,4.481214,4.921103
70,1136807,2186054.629118,1830624.416330,4.160214,4.967953
71,1198200,2193489.234363,2030443.861432,4.370024,4.720938
72,1111006,2173493.213694,2003002.166847,4.089292,4.437363
73,1204645,2186476.724067,2009472.019745,4.407621,4.795867
74,1072272,2182777.568917,1829241.903949,3.929936,4.689471
75,1062644,2164811.264744,2008327.332709,3.926971,4.232951
76,1312593,2191639.403219,2065351.479463,4.791274,5.084241
77,1012425,1992558.778015,1830722.576900,4.064824,4.424155
78,1080618,1998738.077364,1482354.423460,4.325201,5.831901
79,1321956,2001826.689691,1879945.715351,5.282999,5.625507
80,1278730,1991874.989850,1685818.798375,5.135784,6.068173
81,1220754,1937552.993448,1887705.254931,5.040395,5.173494
82,1278922,1996206.135417,1686960.812920,5.125411,6.064976
83,1205920,1714564.214185,1553765.294026,5.626713,6.209020
84,1329170,1996437.280160,1790654.110605,5.326168,5.938255
85,1254120,2157419.903993,1919900.712949,4.650444,5.225770
86,1259841,1944473.882935,2018953.549169,5.183267,4.992055
87,1157992,2180800.666757,1807967.511318,4.247952,5.123950
88,1130558,1619402.052752,2076585.922703,5.585064,4.355449
89,1308218,2184771.931113,1158247.122086,4.790314,9.035847
90,1181025,2178937.571451,1514261.840781,4.336150,6.239476
91,1192064,2179878.353716,1288514.318178,4.374791,7.401169
92,1204544,2179242.861970,1525333.208958,4.421881,6.317539
93,1260045,1987516.948595,1755813.201719,5.071836,5.741135
94,1181177,1973822.752550,1884838.454438,4.787368,5.013382
95,1191113,1993110.241640,1883984.934709,4.780922,5.057845
96,1206882,1985720.218260,1878880.741982,4.862244,5.138727
97,1144961,2000953.954258,1891770.309786,4.577661,4.841861
98,1203525,2000219.805107,1889139.108937,4.813571,5.096607
99,1242524,1914440.394271,1872046.100404,5.192218,5.309801
100,1167948,1940015.865009,1870082.387315,4.816241,4.996349
101,1254485,2170562.598178,1897927.893967,4.623631,5.287809
102,1112380,2114569.017694,1774351.566376,4.208441,5.015376
103,1195539,1974465.786778,1780558.176945,4.844000,5.371525
104,1227359,2166309.787787,1998904.531015,4.532534,4.912127
105,1106547,2181640.652537,1923123.553920,4.057669,4.603124
106,1150874,2173251.144667,1404080.308069,4.236506,6.557312
107,1111516,2158398.091561,2021441.336753,4.119781,4.398905
108,1105261,2144701.836830,2001826.003501,4.122759,4.417011
109,1198615,1987446.975556,1877160.956269,4.824743,5.108203
110,1187121,1981157.911294,1868831.902746,4.793645,5.081767
111,1194879,1993958.574909,1775016.936401,4.793997,5.385319
112,1270023,1721331.906121,1824484.653783,5.902513,5.568797
113,1253943,1978699.032887,1461889.508930,5.069767,6.862040
114,1241310,1970773.197791,1789980.198564,5.038875,5.547816
115,1216092,1993485.190870,1815122.145694,4.880265,5.359824
116,1293533,1963899.113221,1878681.835876,5.269244,5.508258
117,1250707,2160206.128665,1653948.357811,4.631806,6.049558
118,1264703,2142295.602049,1655626.558668,4.722795,6.111054
119,1290262,2167091.487452,1738634.904058,4.763110,5.936897
120,1164759,2139972.828575,2005753.584917,4.354295,4.645671
121,1150569,2132000.497223,2017293.427026,4.317331,4.562823
122,1205920,2176693.447387,2025229.134171,4.432117,4.763589
123,1172958,2144709.037488,2019722.755439,4.375262,4.646016
124,1261408,2187067.466352,2015963.112587,4.614062,5.005679
125,1198288,2306299.364568,2188367.935019,4.156574,4.380572
126,1150140,2358507.838408,2178890.836069,3.901246,4.222846
127,1042895,2227640.842486,1979070.439930,3.745290,4.215696
128,1192738,2339416.840152,1727988.199510,4.078753,5.521973
129,1123224,2365220.226134,2008843.875212,3.799135,4.473116
130,1033575,2363309.089531,2113489.200462,3.498738,3.912298
131,1056063,2371788.467272,1746861.598785,3.562082,4.836390
132,1089156,2360492.026698,1775907.558144,3.691285,4.906363
133,1052818,2328070.664835,1866109.665276,3.617821,4.513424
134,1237942,2373241.529066,2125095.830325,4.173000,4.660277
135,1057431,2319744.197154,2162972.795619,3.646716,3.911028
136,1148594,2253901.872742,2151433.435190,4.076820,4.270991
137,1067622,1469924.346017,2228373.734364,5.810487,3.832829
